epoch 163  train_mse=2947.45  val_mse=3071.94
epoch 164  train_mse=2927.91  val_mse=3044.86
epoch 165  train_mse=2899.47  val_mse=3023.32
epoch 166  train_mse=2890.41  val_mse=3009.24
epoch 167  train_mse=2873.19  val_mse=2982.68
epoch 168  train_mse=2850.46  val_mse=2962.69
epoch 169  train_mse=2831.12  val_mse=2939.63
epoch 170  train_mse=2807.06  val_mse=2922.36
epoch 171  train_mse=2789.75  val_mse=2899.01
epoch 172  train_mse=2768.29  val_mse=2880.35
epoch 173  train_mse=2746.15  val_mse=2858.35
epoch 174  train_mse=2720.02  val_mse=2839.96
epoch 175  train_mse=2711.08  val_mse=2818.84
epoch 176  train_mse=2678.93  val_mse=2799.08
epoch 177  train_mse=2670.16  val_mse=2780.01
epoch 178  train_mse=2646.86  val_mse=2770.12
epoch 179  train_mse=2633.41  val_mse=2742.37
epoch 180  train_mse=2618.42  val_mse=2722.30
epoch 181  train_mse=2603.65  val_mse=2705.27
epoch 182  train_mse=2583.28  val_mse=2684.14
epoch 183  train_mse=2557.31  val_mse=2669.30
epoch 184  train_mse=2543.15  val_mse=2646.39
epoch 185  train_mse=2532.31  val_mse=2630.89
epoch 186  train_mse=2506.27  val_mse=2610.01
epoch 187  train_mse=2485.98  val_mse=2595.69
epoch 188  train_mse=2468.28  val_mse=2573.95
epoch 189  train_mse=2458.79  val_mse=2555.48
epoch 190  train_mse=2435.69  val_mse=2539.92
epoch 191  train_mse=2421.98  val_mse=2520.99
epoch 192  train_mse=2409.71  val_mse=2515.52
epoch 193  train_mse=2388.19  val_mse=2486.66
epoch 194  train_mse=2368.62  val_mse=2468.71
epoch 195  train_mse=2358.82  val_mse=2449.87
epoch 196  train_mse=2331.45  val_mse=2433.51
epoch 197  train_mse=2325.86  val_mse=2415.52
epoch 198  train_mse=2305.71  val_mse=2400.82
epoch 199  train_mse=2286.52  val_mse=2382.08
epoch 200  train_mse=2277.13  val_mse=2365.98
epoch 201  train_mse=2258.90  val_mse=2357.93
epoch 202  train_mse=2245.72  val_mse=2334.95
epoch 203  train_mse=2229.43  val_mse=2321.93
epoch 204  train_mse=2212.28  val_mse=2299.96
epoch 205  train_mse=2196.32  val_mse=2285.41
epoch 206  train_mse=2177.36  val_mse=2267.07
epoch 207  train_mse=2167.32  val_mse=2257.52
epoch 208  train_mse=2151.97  val_mse=2235.60
epoch 209  train_mse=2130.86  val_mse=2223.09
epoch 210  train_mse=2119.51  val_mse=2206.33
epoch 211  train_mse=2104.24  val_mse=2192.87
epoch 212  train_mse=2089.94  val_mse=2175.57
epoch 213  train_mse=2074.25  val_mse=2160.03
epoch 214  train_mse=2061.42  val_mse=2145.26
epoch 215  train_mse=2044.29  val_mse=2129.51
epoch 216  train_mse=2033.50  val_mse=2115.48
epoch 217  train_mse=2009.65  val_mse=2099.02
epoch 218  train_mse=1998.79  val_mse=2085.57
epoch 219  train_mse=1993.78  val_mse=2071.00
epoch 220  train_mse=1980.30  val_mse=2057.89
epoch 221  train_mse=1973.15  val_mse=2050.05
epoch 222  train_mse=1952.00  val_mse=2042.74
epoch 223  train_mse=1927.25  val_mse=2013.99
epoch 224  train_mse=1925.83  val_mse=1998.80
epoch 225  train_mse=1913.75  val_mse=1989.32
epoch 226  train_mse=1891.31  val_mse=1969.89
epoch 227  train_mse=1883.75  val_mse=1956.22
epoch 228  train_mse=1868.72  val_mse=1942.23
epoch 229  train_mse=1850.68  val_mse=1931.28
epoch 230  train_mse=1845.46  val_mse=1917.14
epoch 231  train_mse=1831.32  val_mse=1903.48
epoch 232  train_mse=1816.91  val_mse=1892.05
epoch 233  train_mse=1796.73  val_mse=1877.21
epoch 234  train_mse=1792.73  val_mse=1865.57
epoch 235  train_mse=1780.52  val_mse=1848.65
epoch 236  train_mse=1766.26  val_mse=1836.60
epoch 237  train_mse=1752.28  val_mse=1822.35
epoch 238  train_mse=1749.77  val_mse=1833.75
epoch 239  train_mse=1737.19  val_mse=1803.91
epoch 240  train_mse=1724.20  val_mse=1787.31
epoch 241  train_mse=1708.56  val_mse=1778.69
epoch 242  train_mse=1680.81  val_mse=1759.14
epoch 243  train_mse=1681.68  val_mse=1746.46
epoch 244  train_mse=1669.56  val_mse=1735.36
epoch 245  train_mse=1660.10  val_mse=1724.27
epoch 246  train_mse=1647.02  val_mse=1711.42
epoch 247  train_mse=1635.06  val_mse=1697.91
epoch 248  train_mse=1626.68  val_mse=1686.81
epoch 249  train_mse=1609.56  val_mse=1673.52
epoch 250  train_mse=1604.62  val_mse=1663.25
epoch 251  train_mse=1593.51  val_mse=1649.96
epoch 252  train_mse=1579.42  val_mse=1640.67
epoch 253  train_mse=1566.51  val_mse=1628.43
epoch 254  train_mse=1558.46  val_mse=1616.11
epoch 255  train_mse=1544.88  val_mse=1603.73
epoch 256  train_mse=1533.61  val_mse=1592.47
epoch 257  train_mse=1526.54  val_mse=1581.69
epoch 258  train_mse=1511.68  val_mse=1571.31
epoch 259  train_mse=1498.65  val_mse=1561.38
epoch 260  train_mse=1493.63  val_mse=1549.83
epoch 261  train_mse=1479.48  val_mse=1538.75
epoch 262  train_mse=1470.55  val_mse=1529.22
epoch 263  train_mse=1463.90  val_mse=1519.87
epoch 264  train_mse=1450.92  val_mse=1509.61
epoch 265  train_mse=1441.42  val_mse=1499.43
epoch 266  train_mse=1427.00  val_mse=1487.99
epoch 267  train_mse=1419.16  val_mse=1477.58
epoch 268  train_mse=1410.60  val_mse=1469.58
epoch 269  train_mse=1399.95  val_mse=1460.47
epoch 270  train_mse=1389.92  val_mse=1451.24
epoch 271  train_mse=1376.43  val_mse=1440.60
epoch 272  train_mse=1383.89  val_mse=1450.83
epoch 273  train_mse=1402.57  val_mse=1444.61
epoch 274  train_mse=1382.40  val_mse=1431.82
epoch 275  train_mse=1358.42  val_mse=1410.70
epoch 276  train_mse=1345.58  val_mse=1390.44
epoch 277  train_mse=1329.53  val_mse=1379.52
epoch 278  train_mse=1322.27  val_mse=1371.20
epoch 279  train_mse=1301.92  val_mse=1362.11
epoch 280  train_mse=1293.13  val_mse=1356.46
epoch 281  train_mse=1288.95  val_mse=1343.30
epoch 282  train_mse=1277.92  val_mse=1332.54
epoch 283  train_mse=1270.32  val_mse=1324.38
epoch 284  train_mse=1261.77  val_mse=1315.72
epoch 285  train_mse=1246.23  val_mse=1305.53
epoch 286  train_mse=1239.51  val_mse=1296.39
epoch 287  train_mse=1230.25  val_mse=1291.69
epoch 288  train_mse=1231.33  val_mse=1283.33
epoch 289  train_mse=1223.38  val_mse=1279.75
epoch 290  train_mse=1212.65  val_mse=1263.81
epoch 291  train_mse=1202.07  val_mse=1250.82
epoch 292  train_mse=1192.16  val_mse=1244.36
epoch 293  train_mse=1188.19  val_mse=1239.63
epoch 294  train_mse=1180.79  val_mse=1238.24
epoch 295  train_mse=1177.17  val_mse=1227.53
epoch 296  train_mse=1183.81  val_mse=1221.78
epoch 297  train_mse=1169.27  val_mse=1209.29
epoch 298  train_mse=1145.48  val_mse=1200.71
epoch 299  train_mse=1137.30  val_mse=1184.42
epoch 300  train_mse=1131.03  val_mse=1174.94
epoch 301  train_mse=1121.68  val_mse=1166.86
epoch 302  train_mse=1112.06  val_mse=1160.31
epoch 303  train_mse=1106.73  val_mse=1153.97
epoch 304  train_mse=1104.56  val_mse=1146.71
epoch 305  train_mse=1099.42  val_mse=1149.72
epoch 306  train_mse=1088.00  val_mse=1127.48
epoch 307  train_mse=1075.79  val_mse=1117.58
epoch 308  train_mse=1069.77  val_mse=1114.87
epoch 309  train_mse=1062.26  val_mse=1103.91
epoch 310  train_mse=1054.07  val_mse=1100.96
epoch 311  train_mse=1043.37  val_mse=1093.11
epoch 312  train_mse=1040.00  val_mse=1084.87
epoch 313  train_mse=1031.42  val_mse=1073.79
epoch 314  train_mse=1023.50  val_mse=1070.07
epoch 315  train_mse=1016.23  val_mse=1060.22
epoch 316  train_mse=1006.16  val_mse=1070.02
epoch 317  train_mse=1011.62  val_mse=1051.58
epoch 318  train_mse=1007.13  val_mse=1038.73
epoch 319  train_mse=988.87  val_mse=1034.44
epoch 320  train_mse=983.73  val_mse=1015.38
epoch 321  train_mse=977.80  val_mse=1018.75
epoch 322  train_mse=968.17  val_mse=1010.12
epoch 323  train_mse=961.93  val_mse=1011.94
epoch 324  train_mse=955.77  val_mse=1000.34
epoch 325  train_mse=947.93  val_mse=989.36
epoch 326  train_mse=942.11  val_mse=983.72
epoch 327  train_mse=933.90  val_mse=975.37
epoch 328  train_mse=927.68  val_mse=963.42
epoch 329  train_mse=920.06  val_mse=954.36
epoch 330  train_mse=916.32  val_mse=954.72
epoch 331  train_mse=915.06  val_mse=950.62
epoch 332  train_mse=914.04  val_mse=943.78
epoch 333  train_mse=900.80  val_mse=949.32
epoch 334  train_mse=893.95  val_mse=922.89
epoch 335  train_mse=883.86  val_mse=924.42
epoch 336  train_mse=872.88  val_mse=914.56
epoch 337  train_mse=881.58  val_mse=917.85
epoch 338  train_mse=875.20  val_mse=914.92
epoch 339  train_mse=867.67  val_mse=906.86
epoch 340  train_mse=855.60  val_mse=883.96
epoch 341  train_mse=848.46  val_mse=879.17
epoch 342  train_mse=841.48  val_mse=869.95
epoch 343  train_mse=833.18  val_mse=863.80
epoch 344  train_mse=824.85  val_mse=863.18
epoch 345  train_mse=821.87  val_mse=855.81
epoch 346  train_mse=818.84  val_mse=848.00
epoch 347  train_mse=807.34  val_mse=841.55
epoch 348  train_mse=802.11  val_mse=834.39
epoch 349  train_mse=814.49  val_mse=835.83
epoch 350  train_mse=802.63  val_mse=840.06
epoch 351  train_mse=802.10  val_mse=815.41
epoch 352  train_mse=788.83  val_mse=811.64
epoch 353  train_mse=781.00  val_mse=808.12
epoch 354  train_mse=775.28  val_mse=802.31
epoch 355  train_mse=769.05  val_mse=799.29
epoch 356  train_mse=762.82  val_mse=794.08
epoch 357  train_mse=757.42  val_mse=784.27
epoch 358  train_mse=751.45  val_mse=789.73
epoch 359  train_mse=748.03  val_mse=776.38
epoch 360  train_mse=748.04  val_mse=771.71
epoch 361  train_mse=741.03  val_mse=766.17
epoch 362  train_mse=729.91  val_mse=758.91
epoch 363  train_mse=726.02  val_mse=755.71
epoch 364  train_mse=720.68  val_mse=742.53
epoch 365  train_mse=717.92  val_mse=742.94
epoch 366  train_mse=710.24  val_mse=734.45
epoch 367  train_mse=704.92  val_mse=729.29
epoch 368  train_mse=698.27  val_mse=721.78
epoch 369  train_mse=689.75  val_mse=716.06
epoch 370  train_mse=689.36  val_mse=714.28
epoch 371  train_mse=686.00  val_mse=713.52
epoch 372  train_mse=689.35  val_mse=710.56
epoch 373  train_mse=692.40  val_mse=699.69
epoch 374  train_mse=679.40  val_mse=736.90
epoch 375  train_mse=700.77  val_mse=696.99
epoch 376  train_mse=684.32  val_mse=692.40
epoch 377  train_mse=670.15  val_mse=683.68
epoch 378  train_mse=662.35  val_mse=673.14
epoch 379  train_mse=656.81  val_mse=672.78
epoch 380  train_mse=651.61  val_mse=664.18
epoch 381  train_mse=644.45  val_mse=661.18
epoch 382  train_mse=644.66  val_mse=657.99
